City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
82,Barcelos,41.5388,-8.6151,66.92,68,0,3.11,PT,2022-10-04 00:55:28,clear sky
83,Chicama,-7.8447,-79.1469,57.74,81,56,6.67,PE,2022-10-04 00:55:28,broken clouds
84,Adrar,20.5022,-10.0711,90.68,27,100,7.63,MR,2022-10-04 00:55:29,overcast clouds
85,Itoman,26.1247,127.6694,84.22,74,20,5.75,JP,2022-10-04 00:55:29,few clouds
86,Norman Wells,65.282,-126.8329,35.64,100,100,4.61,CA,2022-10-04 00:55:30,light rain
87,Yulara,-25.2406,130.9889,65.19,62,97,6.93,AU,2022-10-04 00:55:30,overcast clouds
88,Khatanga,71.9667,102.5,14.94,87,100,6.82,RU,2022-10-04 00:55:30,overcast clouds
89,Puebla,18.8333,-98.0,62.22,50,80,3.71,MX,2022-10-04 00:56:31,broken clouds
90,Posse,-14.0931,-46.3694,75.29,55,15,4.27,BR,2022-10-04 00:56:31,few clouds
91,Torbay,47.6666,-52.7314,45.16,71,20,3.0,CA,2022-10-04 00:56:31,few clouds
92,Ribeira Grande,38.5167,-28.7,69.66,82,100,3.02,PT,2022-10-04 00:56:32,overcast clouds
93,Teruel,40.6667,-0.6667,58.15,47,93,2.91,ES,2022-10-04 00:56:32,overcast clouds
94,Cabo San Lucas,22.8909,-109.9124,88.05,69,3,5.86,MX,2022-10-04 00:56:32,clear sky
95,Uray,60.1247,64.7758,47.64,98,100,6.49,RU,2022-10-04 00:56:33,light rain
96,Mount Gambier,-37.8333,140.7667,58.64,73,100,10.38,AU,2022-10-04 00:56:33,overcast clouds
97,Victoria,22.2855,114.1577,86.38,81,5,5.01,HK,2022-10-04 00:51:57,clear sky
98,Ilulissat,69.2167,-51.1,17.28,85,41,5.86,GL,2022-10-04 00:56:34,scattered clouds
99,Mongar,27.2747,91.2396,61.34,91,100,2.77,BT,2022-10-04 00:56:34,overcast clouds
100,Talisay,10.2447,123.8494,82.42,78,75,3.44,PH,2022-10-04 00:56:34,broken clouds
101,Mahebourg,-20.4081,57.7,70.25,78,40,9.22,MU,2022-10-04 00:55:10,scattered clouds
102,Asau,46.4333,26.4,45.52,82,75,4.16,RO,2022-10-04 00:56:35,broken clouds
103,East London,-33.0153,27.9116,63.14,71,100,14.74,ZA,2022-10-04 00:55:34,overcast clouds
