,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Sibu,MY,75.92,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
573,Upata,VE,78.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
574,Curillo,CO,76.28,overcast clouds,1.0333,-75.9191,CASA CLUB
575,Indramayu,ID,82.62,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
579,Miyako,JP,75.7,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
584,Bengkulu,ID,77.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
585,Spokane,US,76.33,smoke,47.6166,-117.3677,Madison Inn by Riversage
588,Rockport,US,79.0,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
589,Luganville,VU,81.19,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
590,Lubao,PH,83.73,overcast clouds,14.9167,120.55,Hacienda Gracia
591,Jackson,US,89.47,clear sky,42.4165,-122.8345,Agate Village Apartments
593,Buala,SB,84.02,light rain,-8.145,159.5921,Maringe Lagoon Lodge
595,Kokopo,PG,86.72,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
598,Diapaga,BF,76.89,clear sky,12.0708,1.7889,Hôtel GACILIE
601,Kawalu,ID,76.39,overcast clouds,-7.3817,108.2082,West Jontor
606,Sinnamary,GF,78.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
611,Sena Madureira,BR,77.97,scattered clouds,-9.0656,-68.6569,Hotel Central
612,Ixtapa,MX,81.63,broken clouds,20.7,-105.2,hotel la terminal
614,Elat,IL,78.64,clear sky,29.5581,34.9482,Club Hotel Eilat
615,Aswan,EG,82.89,clear sky,24.0934,32.907,Nuba Nile
619,Sao Joao Do Piaui,BR,77.4,clear sky,-8.3581,-42.2467,Nayra Palace Hotel
627,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
629,Marawi,PH,79.95,overcast clouds,7.9986,124.2928,Derogongan Residence
632,Majene,ID,82.58,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
634,Kijang,KR,80.33,moderate rain,35.2442,129.2139,Samyang Beach Villa
639,Mogadishu,SO,76.32,scattered clouds,2.0371,45.3438,Hotel Juba
641,Tefe,BR,77.38,moderate rain,-3.3542,-64.7114,Aracati Hotel
646,Dongli,CN,84.6,clear sky,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
647,Iranshahr,IR,79.02,clear sky,27.2025,60.6848,نیک سرشت
648,Singaraja,ID,82.2,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
650,Maumere,ID,83.66,scattered clouds,-8.6199,122.2111,Sylvia Hotel
651,Porto Novo,BJ,76.17,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
661,Fuzhou,CN,86.11,clear sky,26.0614,119.3061,Shangri La Hotel Fuzhou
664,Harlingen,US,79.9,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
668,Carauari,BR,79.02,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
671,Picota,PE,77.49,broken clouds,-6.9197,-76.3304,Hospedaje Vanessa
674,Labuhan,ID,82.06,overcast clouds,-6.8844,112.2051,DoubleFAG
677,Dwarka,IN,80.62,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
